datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Funding rate,openinterest,symbol
2024-12-02 13:00:00,94972.03,95822.61,94837.77,95679.99,1636.29258,1733147999999,156317361.3943711,343290,829.93764,79279043.6240924,0,0.0,0,BTCUSDT
2024-12-02 14:00:00,95679.99,96814.73,95501.0,96321.27,2094.23553,1733151599999,201511905.0311576,408208,1052.18495,101228973.3173186,0,0.0,0,BTCUSDT
2024-12-02 15:00:00,96321.27,97214.77,95701.53,97048.0,3441.97446,1733155199999,332889122.3154174,529167,1789.20836,173127806.3431255,0,0.0,0,BTCUSDT
2024-12-02 16:00:00,97048.01,97356.69,96000.0,96167.46,2585.99366,1733158799999,250051000.65250888,484767,1158.77226,112063332.2704301,0,0.00024555,0,BTCUSDT
2024-12-02 17:00:00,96167.45,96573.0,94395.0,94604.03,3311.66979,1733162399999,316154122.6161774,584493,1437.768,137321558.1362815,0,0.0,0,BTCUSDT
2024-12-02 18:00:00,94604.03,95839.44,94488.0,95646.14,1728.47693,1733165999999,164758178.4113726,353727,913.22837,87039976.3913841,0,0.0,0,BTCUSDT
2024-12-02 19:00:00,95646.13,95856.4,95157.12,95816.0,1170.85264,1733169599999,111812938.7305288,241518,579.24804,55324588.9467955,0,0.0,0,BTCUSDT
2024-12-02 20:00:00,95816.01,96327.87,95451.33,95666.66,1146.95152,1733173199999,110031986.6611983,241865,538.05199,51612214.8445317,0,0.0,0,BTCUSDT
2024-12-02 21:00:00,95666.66,95754.64,95345.05,95406.88,775.05733,1733176799999,74048934.2608654,235268,381.39681,36438501.8655769,0,0.0,0,BTCUSDT
2024-12-02 22:00:00,95406.88,95529.34,95112.01,95372.0,824.11254,1733180399999,78586369.1392485,147393,485.55313,46301508.8212563,0,0.0,0,BTCUSDT
2024-12-02 23:00:00,95372.0,95869.28,95328.0,95840.62,1046.61897,1733183999999,100087414.9785998,128737,721.49751,68995608.6653011,0,0.0,0,BTCUSDT
2024-12-03 00:00:00,95840.61,96105.26,95680.0,95804.03,1319.66771,1733187599999,126545694.4748822,185403,754.6937,72371970.9117927,0,0.00013387,0,BTCUSDT
2024-12-03 00:00:00,95840.61,96105.26,95680.0,95804.03,1319.66771,1733187599999,126545694.4748822,185403,754.6937,72371970.9117927,0,0.00013387,0,BTCUSDT
2024-12-03 01:00:00,95804.04,95920.64,95454.54,95524.08,758.47935,1733191199999,72557510.5674828,159258,321.84315,30787042.5360356,0,0.0,0,BTCUSDT
2024-12-03 02:00:00,95524.08,96305.52,95400.0,96035.49,1027.42213,1733194799999,98535745.4181781,141327,505.41444,48466741.7492788,0,0.0,0,BTCUSDT
2024-12-03 03:00:00,96035.48,96210.42,95916.02,96079.36,565.82005,1733198399999,54358176.1527912,88682,295.326,28370294.1447395,0,0.0,0,BTCUSDT
2024-12-03 04:00:00,96079.36,96220.0,95900.0,95920.64,580.79822,1733201999999,55794173.4636235,92214,241.09,23159062.8771532,0,0.0,0,BTCUSDT
2024-12-03 05:00:00,95920.64,96168.0,95848.36,96155.18,572.94235,1733205599999,55014852.2997528,74677,272.18692,26139358.9983911,0,0.0,0,BTCUSDT
2024-12-03 06:00:00,96155.17,96238.1,95522.44,95632.22,1057.77004,1733209199999,101502271.404038,152659,403.17324,38676862.0981343,0,0.0,0,BTCUSDT
2024-12-03 07:00:00,95632.22,95721.95,95277.35,95550.0,1298.94713,1733212799999,124058226.1747687,281673,536.83187,51273041.776695,0,0.0,0,BTCUSDT
2024-12-03 08:00:00,95550.0,95662.94,95305.95,95528.0,816.04704,1733216399999,77916306.0939894,125077,355.15754,33913488.5886465,0,0.00012778,0,BTCUSDT
2024-12-03 09:00:00,95528.0,95539.69,95158.0,95256.01,767.73327,1733219999999,73143750.9082473,109904,313.76341,29892440.8806545,0,0.0,0,BTCUSDT
2024-12-03 10:00:00,95256.0,95482.63,94641.93,94697.9,1328.4358,1733223599999,126297104.5933646,160733,547.36499,52031123.6281485,0,0.0,0,BTCUSDT
2024-12-03 11:00:00,94697.9,95033.99,94595.38,94988.01,1144.2728,1733227199999,108491002.7126694,234822,633.49734,60063771.2014258,0,0.0,0,BTCUSDT
2024-12-03 12:00:00,94988.0,95005.67,94679.51,94813.58,959.39741,1733230799999,90995921.1427678,186972,453.02965,42969178.3135228,0,0.0,0,BTCUSDT
